episode,old_power,new_power,old_delay,new_delay
1,5.347023673484155,5.281221050278476,1.4308336805237898,1.4321335928368248
2,5.393348562609633,5.262533003889,1.5396795110581964,1.5408377422028876
3,5.078985054803948,4.913598447068637,1.4683038102071393,1.4474844918158511
4,4.541932675873934,4.553399801847449,1.4026365555803106,1.3715761900567198
5,4.053836416254815,4.2410472033777555,1.361194676635237,1.3187150428456091
6,3.6743536468287994,3.9779133928317654,1.3483722986839761,1.2982348958598173
7,3.3893729796307404,3.797617185407554,1.3317841322060484,1.2714277937721894
8,3.1785503414449994,3.6607300588186282,1.3194458206359385,1.2557824918304274
9,2.999113944207936,3.553432552812422,1.309819413166023,1.2394823530668773
10,2.8356514310322187,3.461180465476173,1.307180060385205,1.2213296268300906
11,2.45368001300683,3.200152554435793,1.2853176427009436,1.186824491022455
12,2.0638235157686973,2.947990012343176,1.2434230671604043,1.1281193572848909
13,1.7797811922023121,2.799998426110798,1.2345074770244449,1.1154306423109714
14,1.6436477784993822,2.7218501968700757,1.236139209271722,1.1118489634449489
15,1.5855080093078673,2.700788069928193,1.2417924639867781,1.1074014569326662
16,1.5576649054139886,2.7049276422550568,1.2406461903018138,1.1020517203064408
17,1.5311839538658212,2.703815544079301,1.2494889734760972,1.1063582027025933
18,1.5090635388074203,2.701782494563846,1.2483661647575481,1.1042298728227127
19,1.4990325638697635,2.7001695783392363,1.247588191261885,1.1013661357868976
20,1.4852992865876986,2.6879656689100675,1.2463822799797035,1.1118108629560968
21,1.4676837234998237,2.6779504641682617,1.2473139430558255,1.111620252213658
22,1.4442137570282538,2.6565925834125648,1.2559598354830759,1.1349398084381013
23,1.421561730987001,2.6435180730039027,1.2619593848982174,1.1442519125299093
24,1.402949400342063,2.6435317606562525,1.2641670426063665,1.145320922070276
25,1.38606046884673,2.6293291053823844,1.2703146670264662,1.1536164615732998
26,1.3817130946755718,2.636155709071609,1.2679126943740882,1.14957429116068
27,1.3935243930331689,2.6401095047030316,1.2486171751309372,1.1429370399000636
28,1.3887758885049297,2.641406793645837,1.2451981307123594,1.1430240875278324
29,1.397459939482075,2.6450134578424827,1.2354924036342663,1.1490704009122994
